match_type,pattern,country_iso,city,county
variety,African Mahogany,ZA,,
variety,African Mogano,ZA,,
variety,African Multicolor,NG,,
variety,African Rainbow,ZA,,
variety,African Silver Blue,ZA,,
variety,African Tapestry,ZA,,
variety,Afshar White,IR,,
variety,Agata,BR,,
variety,Agate,US,,
variety,Agatha Cream,BR,,
variety,Aghada Platinada,BR,,
variety,Ahrntal Valley Tonalite,IT,,
variety,Aj Brown,BR,,
variety,Aji Chume,JP,,
variety,Aji Ishi,JP,,
variety,Ak White,VN,,
variety,Aksai Red,KZ,,
variety,Aksaray Beta,TR,,
variety,Aksaray Pink,TR,,
variety,Aksaray Yaylak,TR,,
variety,Aktash,RU,,
variety,Akure Grey,NG,,
variety,Al Jamoom,SA,,
variety,Ala Noscua,RU,,
variety,Alamo Sola,BR,,
variety,Alamoot,IR,,
variety,Alaska Red,IN,,
variety,Alaska Rosa,IN,,
variety,Albany,BR,,
variety,Alberga,SE,,
variety,Albero Almendra,ES,,
variety,Albero Blanco,ES,,
variety,Albtal,DE,,
variety,Alentejo Grey,PT,,
variety,Algonquin Grey Green,CA,,
variety,Allaire,FR,,
variety,Allies Gold,IN,,
variety,Alma Grey,PT,,
variety,Alma White,PT,,
variety,Alma Yellow,PT,,
variety,Almond Jacigua,BR,,
variety,Almond Pearl Brown,IN,,
variety,Alp Snow,CN,,
variety,Alpensilber,CH,,
variety,Alpine,BR,,
variety,Alpine Gold,IN,,
variety,Alpine Star,BR,,
variety,Alpine Storm,BR,,
variety,Alps,BR,,
variety,Alvand Grey,IR,,
variety,Alvorada Brown,BR,,
variety,Alxa Yellow,CN,,
variety,Amaara,IN,,
variety,Amadeus,FI,,
variety,Amalgarh,IN,,
variety,Amarello Arabesco,BR,,
variety,Amarello Penela,PT,,
variety,Amarelo Alpendurada,PT,,
variety,Amarelo Boa Vista,BR,,
variety,Amarelo Boticas,PT,,
variety,Amarelo Cardielos,PT,,
variety,Amarelo De Felgueiras,PT,,
variety,Amarelo De Figueira,PT,,
variety,Amarelo De Fonte Arcada,PT,,
variety,Amarelo Florenca,BR,,
variety,Amarelo Frades,PT,,
variety,Amarelo Galho,PT,,
variety,Amarelo Jaguar,BR,,
variety,Amarelo Lapa,PT,,
variety,Amarelo Macieira,PT,,
variety,Amarelo Maracuja,BR,,
variety,Amarelo Moirinte,PT,,
variety,Amarelo Montemuro,PT,,
variety,Amarelo Paraiso,BR,,
variety,Amarelo San Martinho,PT,,
variety,Amarelo Santo Agostinho,BR,,
variety,Amarelo Vincenza,BR,,
variety,Amaretto,BR,,
variety,Amarillo Celta,ES,,
variety,Amarillo Extremadura,ES,,
variety,Amarillo Jara,ES,,
variety,Amarillo Monumental,ES,,
variety,Amarillo Platino,ES,,
variety,Amarillo Vilachan,ES,,
variety,Amarone,BR,,
variety,Amarula,BR,,
variety,Amazon,BR,,
variety,Amazon Black,BR,,
variety,Amazon Blue,BR,,
variety,Amazon Brown,BR,,
variety,Amazon Lilas,BR,,
variety,Amazon Pink,IN,,
variety,Amazonia,BR,,
variety,Amba Cream,IN,,
variety,Amba White,IN,,
variety,Ambatomanga,MG,,
variety,Amber Gold,CN,,
variety,Amber Persa,BR,,
variety,Amber Storm,BR,,
variety,Amber Yellow,CN,,
variety,Ambrosia Gold,BR,,
variety,Ambrosia White,IN,,
variety,Amc Red,NG,,
variety,Amendoa,BR,,
variety,Amendoa Capixaba,BR,,
variety,Amendoa Carioca,BR,,
variety,Amendoa Missi,BR,,
variety,American Gold Brazil,BR,,
variety,American Grey,US,,
variety,Ametista Black,BR,,
variety,An Gee Red,CN,,
variety,An Khe Red,VN,,
variety,Anantapur Grey,IN,,
variety,Anatoli,BR,,
variety,Anatolia Black,TR,,
variety,Anatolian Green,TR,,
variety,Ancient Brown,SA,,
variety,Andes Black,BR,,
variety,Andromeda,LK,,
variety,Andromeda Cream,IN,,
variety,Andromeda White,IN,,
variety,Angel White,BR,,
variety,Angellus,BR,,
variety,Angola Rubin,AO,,
variety,Angola Silver,AO,,
variety,Angra Brown,BR,,
variety,Angra Red,BR,,
variety,Anhai White,CN,,
variety,Anhui Ice Blue,CN,,
variety,Anji Lotus Flower,CN,,
variety,Anji Red,CN,,
variety,Anjos Gold,BR,,
variety,Ankara Fume,TR,,
variety,Ankor Galaxy,KH,,
variety,Anshan Red,CN,,
variety,Ant,TR,,
variety,Antena,XK,,
variety,Anthracite Black,BR,,
variety,Antico Cream,IN,,
variety,Antico Pearl,IN,,
variety,Antico Silver,IN,,
variety,Antik Nero Gabbro,UA,,
variety,Antique Fantasy,BR,,
variety,Antique Green,ZA,,
variety,Antique Marron,AO,,
variety,Antique White,IN,,
variety,Anxi Red,CN,,
variety,Anzola,IT,,
variety,Aobao Black,CN,,
variety,Aoki Black,JP,,
variety,Apache Red,BR,,
variety,Apollo,BR,,
variety,Apollo Storm,BR,,
variety,Apple White,IN,,
variety,Apricot Blossom,CN,,
variety,Aquarela Gold,BR,,
variety,Aquarrella Green,IR,,
variety,Aqueous,BR,,
variety,Aqueous Venato,BR,,
variety,Aqueralla Red,IR,,
variety,Aquila Red,FI,,
variety,Arabian Black,CN,,
variety,Aram Brown,IR,,
variety,Aran Cream,BR,,
variety,Arandis,NA,,
variety,Arany,BR,,
variety,Araras Gold,BR,,
variety,Arbatas,KZ,,
variety,Arboga,SE,,
variety,Arcadia,IN,,
variety,Archipelago Red,FI,,
variety,Arcka Yellow,IR,,
variety,Arctic Black Norway,NO,,
variety,Arctic Black Star,FI,,
variety,Arctic Cream,BR,,
variety,Arctic Gold,BR,,
variety,Arctic Grey,CA,,
variety,Arctic Pink,NO,,
variety,Arctic Polar White,BR,,
variety,Arctic Rainbow,CA,,
variety,Arctic Red,FI,,
variety,Arenarico,IT,,
variety,Arendus White,IN,,
variety,Ares,BR,,
variety,Aries White,BR,,
variety,Arihant Black,IN,,
variety,Aristo White,IN,,
variety,Arizona,IN,,
variety,Arizona 3d Grey,IN,,
variety,Arizona Blue,IN,,
variety,Arizona Brown,IN,,
variety,Arizona Forest Light,IN,,
variety,Armani Black,BR,,
variety,Armani White,CN,,
variety,Arnad,IT,,
variety,Arterial,BR,,
variety,Arthemis,BR,,
variety,Artic Brown,CA,,
variety,Artic Green,BR,,
variety,Articum Red,FI,,
variety,Artosha,ZA,,
variety,Artus,BR,,
variety,Aruba Dream,BR,,
variety,Aruba Gold,VE,,
variety,Arzachena,IT,,
variety,Asa Branca,BR,,
variety,Asgard White,BR,,
variety,Ash Black,IN,,
variety,Ash Brown,CA,,
variety,Ash Grey,IN,,
variety,Asian Black,CN,,
variety,Asterix,BR,,
variety,Astoria Gold,BR,,
variety,Astoria Ivory,IN,,
variety,Astoria Pink,IN,,
variety,Astrus,BR,,
variety,Aswan Red,EG,,
variety,Atacama,BR,,
variety,Atibaia,BR,,
variety,Atlantic Black,AO,,
variety,Atlantic Green,CA,,
variety,Atlantic Pink,CA,,
variety,Atlantic Star,AO,,
variety,Atlas,BR,,
variety,Audax,BR,,
variety,Aureate Grain,CN,,
variety,Aurora,FI,,
variety,Aurora Black,BR,,
variety,Aurum Black,BR,,
variety,Aurus,BR,,
variety,Ausone Silver Blue,IT,,
variety,Austral Coffee,AU,,
variety,Austral Green,AU,,
variety,Austral Juparana,AU,,
variety,Australia Desert Brown,AU,,
variety,Australia Forest Green,AU,,
variety,Autumn Green,IN,,
variety,Autumn Leaves,SE,,
variety,Autumn Yellow,PT,,
variety,Avalon White,BR,,
variety,Avatar Blue,BR,,
variety,Avatar Gold,BR,,
variety,Aves,BR,,
variety,Avocado,BR,,
variety,Avocatus,BR,,
variety,Avon Grey,IN,,
variety,Avoria White,IN,,
variety,Ayers Green,AU,,
variety,Ayvalik,TR,,
variety,Azalea Red,CN,,
variety,Azul Alpendurada,PT,,
variety,Azul Anochecer,ES,,
variety,Azul Aran,ES,,
variety,Azul Araras,BR,,
variety,Azul Bahia Blue,IR,,
variety,Azul Cinzento,PT,,
variety,Azul Claro,ES,,
variety,Azul Costa,ES,,
variety,Azul De Evora,PT,,
variety,Azul Dm,ES,,
variety,Azul Escuro,PT,,
variety,Azul Extremadura,ES,,
variety,Azul Eyes,CA,,
variety,Azul Grao Fino,PT,,
variety,Azul Guanabara,BR,,
variety,Azul Mara,VE,,
variety,Azul Nova,IN,,
variety,Azul Nuevo,IN,,
variety,Azul Ora,IN,,
variety,Azul Oscuro,ES,,
variety,Azul Palmares,BR,,
variety,Azul Pegaso,BR,,
variety,Azul Planeta,BR,,
variety,Azul Rio,BR,,
variety,Azul Serena,ES,,
variety,Azul Suede,BR,,
variety,Azul Tragal,ES,,
variety,Azul Transmontano,PT,,
variety,Azul Trujillo,ES,,
variety,Azulalia,PT,,
variety,Azulino,ES,,
variety,Azure White,IN,,
variety,Azureus,BR,,
variety,Azurite,BR,,
variety,Ba Medium,CN,,
variety,Babilon,BR,,
variety,Bacurau,BR,,
variety,Baha Golden,CN,,
variety,Bahama Blue,IN,,
variety,Bahamas,BS,,
variety,Bahamas Gold,IN,,
variety,Bahamas Green,BS,,
variety,Bahamas White,BS,,
variety,Bai Hu Jian Hong,CN,,
variety,Bai Po Huang,CN,,
variety,Baikal,BR,,
variety,Bala Flower,IN,,
variety,Balaban Green,TR,,
variety,Balfour White,US,,
variety,Bali Red,CN,,
variety,Bali White,BR,,
variety,Bally White,CN,,
variety,Ballybrew,IE,,
variety,Ballyedmonduff,IE,,
variety,Ballyknockan,IE,,
variety,Balma Black,IT,,
variety,Balmoral Green,AU,,
variety,Balmoral Red,FI,,
variety,Balthus,BR,,
variety,Baltic Azul,CN,,
variety,Baltic Brown Bb,FI,,
variety,Baltic Rosa,FI,,
variety,Baluarte,BR,,
variety,Bamboo Leaf Black,CN,,
variety,Bamboo Leafage Black,CN,,
variety,Bamboo Leafage Green,CN,,
variety,Ban Tak,TH,,
variety,Bao Loc Golden,VN,,
variety,Baoshan Grey,CN,,
variety,Baoxing Ice Black,CN,,
variety,Baoxing Rape Flower Yellow,CN,,
variety,Baoxing Red,CN,,
variety,Baoxing Watermelon Green,CN,,
variety,Bararp,SE,,
variety,Barbara White,CN,,
variety,Barbarella,BR,,
variety,Barents Blue,NO,,
variety,Barents Red,NO,,
variety,Baricatto,BR,,
variety,Bariloche,BR,,
variety,Bariloche Gold,BR,,
variety,Bariloche White,BR,,
variety,Barindong Light,VN,,
variety,Barmer Gold,IN,,
variety,Barmer Green,IN,,
variety,Barmer Yellow,IN,,
variety,Barnacullia,IE,,
variety,Baron Tham,SE,,
variety,Baroque Gold,BR,,
variety,Barra Grey,CN,,
variety,Barricato,BR,,
variety,Barroco,BR,,
variety,Basilicato,BR,,
variety,Bauchi Green,NG,,
variety,Baveno Verde,IT,,
variety,Beauty Black,IN,,
variety,Beauty Dark,BR,,
variety,Beauty Musk,BR,,
variety,Beaver Brown,FI,,
variety,Beida Black,CN,,
variety,Beige Khorramdarreh,IR,,
variety,Beige Rosa,CN,,
variety,Belgaum Grey,IN,,
variety,Bellatrix,BR,,
variety,Bellingham,US,,
variety,Belmont Rose,CA,,
variety,Belorizont,BR,,
variety,Belrose,PT,,
variety,Beluro,CA,,
variety,Belvedere,AO,,
variety,Belyauti,UZ,,
variety,Bengal Black,IN,,
variety,Bentley Grey,IN,,
variety,Bergama Grey,TR,,
variety,Bergan,NO,,
variety,Bergstrasse,DE,,
variety,Berry Brown,IN,,
variety,Bethanie,ZA,,
variety,Betulaire,BR,,
variety,Betularie,BR,,
variety,Bg Black,IN,,
variety,Bhanu Brown,IN,,
variety,Bhilwara Black,IN,,
variety,Bhilwara Grey,IN,,
variety,Bianco,BR,,
variety,Bianco Antarctica,BR,,
variety,Bianco Aurina,IT,,
variety,Bianco Aurora,BR,,
variety,Bianco Calizia,ES,,
variety,Bianco Cardigan,BR,,
variety,Bianco Catalina,BR,,
variety,Bianco Celeste,CN,,
variety,Bianco Dalmata,BR,,
variety,Bianco Gold,BR,,
variety,Bianco Jabre,BR,,
variety,Bianco Michelangelo,BR,,
variety,Bianco Monte Carlo,IT,,
variety,Bianco Montorfano,IT,,
variety,Bianco Napoleone,BR,,
variety,Bianco Pergamena,BR,,
variety,Bianco Pesca,BR,,
variety,Bianco Rubelita,BR,,
variety,Bianco Smeralda,IT,,
variety,Bianco Tapaio,BR,,
variety,Bianco Tapajo,BR,,
variety,Bianco Tarn,FR,,
variety,Bianco Tifone,IN,,
variety,Bianco Torrone,BR,,
variety,Bianco Typhoon,IN,,
variety,Big Brown Flower,CN,,
variety,Big Flower,CN,,
variety,Big Juparana,NG,,
variety,Big Sesame,CN,,
variety,Bijuri Beige,IN,,
variety,Bir Askar Brown,IN,,
variety,Birjand Daneanar,IR,,
variety,Birkenkopf,DE,,
variety,Biscotti Gold,IN,,
variety,Bishop Black,SE,,
variety,Bismark Brown,IN,,
variety,Bjaerloev,SE,,
variety,Bjarlov,SE,,
variety,Black Amber,BR,,
variety,Black Bingzhou,CN,,
