variety,stone_type,country_iso,city,county
Armarino Grey,Marble,CN,,
Armenia Beige,Travertine,AM,,
Armenia Black,Basalt,AM,,
Armenia Gold,Travertine,AM,,
Armenia Grey,Basalt,AM,,
Armenia Grey,Travertine,AM,,
Armenia Ivory,Travertine,AM,,
Armenia L,Tuff,AM,,
Armenian Tufa,Tuff,AM,,
Armoni,Marble,TR,,
Arnad,Granite,IT,,
Arobo Dune,Marble,PK,,
Arotco Black,Marble,IR,,
Arsa,Marble,IR,,
Art Fossil,Limestone,TR,,
Arta Pink,Marble,GR,,
Artavazdski,Travertine,AM,,
Arterial,Granite,BR,,
Artesia,Limestone,CA,,
Artesian White,Marble,GR,,
