variety,stone_type,country_iso,city,county
Indian Aurora,Granite,IN,,
Indian Autumn,Slate,"BR,IN",,
Indian Creek,Slate,IN,,
Indian Green,Slate,IN,,
Indian Kinawa,Granite,IN,,
Indian Red,Alabaster,US,,
Indian Red Jasper,Marble,"EG,IT",,
Indian Rosso,Marble,IN,,
Indian Royal Brown,Granite,IN,,
Indian Statuario,Marble,"IN,IT",,
Indian Sunset,Granite,US,,
Indiana Gray,Limestone,US,,
Indiana Limestone,Limestone,US,,
Indigo,Granite,BR,,
Indigo,Soapstone,BR,,
Indo Beige,Marble,ID,,
Indo Black,Granite,VN,,
Indo Italian,Marble,IN,,
Indo Levanto,Marble,IN,,
Indo Marfil,Marble,ID,,
Indo Waria,Marble,IN,,
Indochina Mahogany,Granite,VN,,
Indonesia Black,Andesite,ID,,
Indonesia Green,Sandstone,ID,,
Indonesia Grey,Andesite,ID,,
Indonesia Grey,Basalt,ID,,
Indonesia Red,Andesite,ID,,
Indonesian Andesite,Andesite,ID,,
Indus Gold,Marble,"CN,EG,PK",,
Infercoa,Slate,ES,,
Inferno,Onyx,"GR,MX",,
Infinito White,Marble,TR,,
Infinity Blue,Quartzite,BR,,
Infinity Gold,Granite,BR,,
Infinity Grey,Marble,"BR,TR",,
Infinity Grey,Quartzite,"BR,TR",,
Infinity White,Quartzite,IN,,
Ink Jade,Granite,CN,,
Ink Painting,Granite,CN,,
Ink White,Marble,CN,,
Ink Wood Grain,Marble,"CN,GR,IN,IT",,
Inka,Onyx,MX,,
Inka Gold,Travertine,PE,,
Innovia Beige,Marble,TR,,
Intense Coffee,Granite,BR,,
Inti,Travertine,PE,,
Inverness,Limestone,CA,,
Invictus,Granite,BR,,
Invierno,Granite,BR,,
Invisible Antique,Marble,TR,,
Invisible Blue,Marble,BR,,
Invisible Grey Gold,Marble,BR,,
Invisible White,Marble,BR,,
Ioannina Beige,Marble,GR,,
Ionian Brown,Marble,GR,,
Ioriano,Marble,IT,,
Ipanema,Soapstone,BR,,
Ipanema Beach,Granite,BR,,
Ipanema Beige,Granite,BR,,
Ipoh,Marble,MY,,
Iragna,Granite,CH,,
Iraji,Marble,IR,,
Iran Golden Brown,Marble,IR,,
Iran Light Green,Onyx,"IR,PK",,
Iran Noce,Travertine,IR,,
Iran Pink,Andesite,IR,,
Iran Red,Travertine,"AZ,IR",,
Iran Sofita,Marble,"IR,TR",,
Iran White,Limestone,"AF,CN,IR,IT",,
Iran White,Onyx,"AF,CN,IR,IT",,
Iran White,Sandstone,"AF,CN,IR,IT",,
Iran White,Travertine,"AF,CN,IR,IT",,
Iran Yellow,Onyx,IR,,
Iridanos,Marble,GR,,
Iris,Marble,"EG,IR,TR",,
Iris Cream,Marble,TR,,
Iris Cream Light,Marble,TR,,
Iris Cream Rosa,Marble,TR,,
Iris Gray,Marble,TR,,
Iris Pink,Onyx,"IR,TR",,
Iris White,Marble,BR,,
Irish Black,Granite,"IE,IN",,
Irish Black,Marble,"IE,IN",,
Irish Blue,Limestone,IE,,
Irish Green,Marble,"BR,CN,GR,IE,IN,IR,IT,MM,TR,VN",,
Irish Grey,Marble,IE,,
Iron Blue,Granite,BR,,
Iron Lace,Marble,AU,,
Iron Red,Granite,"BR,CN",,
Iron Red,Marble,"BR,CN",,
Iron Red Quartzite,Quartzite,BR,,
Isabella,Marble,TR,,
Isaura Spider Beige,Marble,TR,,
Isernia,Limestone,IT,,
Isetskiy,Granite,RU,,
Isfahan Green,Granite,IR,,
Isfahan Rose,Granite,IR,,
Isinda,Marble,TR,,
Isis Gold,Marble,EG,,
Iskcon White,Granite,IN,,
Island Red,Granite,CN,,
Isola Grey,Granite,CN,,
Isparta,Marble,TR,,
Isparta Grey,Marble,"KH,TN,TR",,
Isporada Beige,Marble,TR,,
Istanbul,Granite,BR,,
Istrian White,Limestone,HR,,
Ita Gold,Sandstone,IN,,
Ita Green,Granite,"BR,IN",,
Ita Rose,Granite,BR,,
Italian Classic Beige,Marble,"IT,PR",,
Italian Wood Grain,Marble,"EG,IT,TR",,
Italy Dark Gray,Marble,IT,,
Italy Gold,Marble,IT,,
Italy Gold,Travertine,IT,,
Italy Gold Coffee,Marble,IT,,
Italy Jade,Marble,IT,,
Ivailovgrad,Gneiss,BG,,
Ivano Dolynske,Basalt,UA,,
Ivme Cappuccino,Onyx,TR,,
Ivo Red,Granite,SE,,
Ivory,Onyx,"IR,IT,TR",,
Ivory,Travertine,"IR,IT,TR",,
Ivory Alabastrino,Limestone,TR,,
Ivory Antico,Limestone,TR,,
Ivory Antiqued,Limestone,TR,,
Ivory Bahama,Granite,IN,,
Ivory Beige,Marble,"CN,EG,ES,IR,IT,LB,TR",,
Ivory Borneo,Limestone,MY,,
Ivory Brown,Granite,"BR,IN",,
Ivory Classic,Marble,"EG,IR",,
Ivory Cloud,Marble,TR,,
Ivory Coast,Granite,"CI,ZA",,
Ivory Cream,Granite,"BR,IN,IR,IT,TR",,
Ivory Cream,Travertine,"IN,IR,IT,TR",,
Ivory Cream Gold,Granite,"BR,IN",,
Ivory Creamy,Marble,EG,,
Ivory Cristallina,Marble,CH,,
Ivory Elegance,Granite,IN,,
Ivory Gold,Granite,"BR,IN",,
Ivory Jade,Onyx,MX,,
Ivory Juparana,Granite,IN,,
Ivory Lace,Limestone,"IL,PS",,
Ivory Light,Marble,"EG,IR,IT,TR",,
Ivory Medium,Travertine,"IR,IT,TR",,
Ivory Orange,Granite,IN,,
Ivory Pearl,Granite,"IN,MX,TR",,
Ivory Pearl,Travertine,"IN,MX,TR",,
Ivory Pink,Granite,"IN,NG",,
Ivory Raw Silk,Granite,IN,,
Ivory Red,Marble,TR,,
Ivory Rosalia,Marble,TR,,
Ivory Travertine (Light),Travertine,TR,,
Ivory White,Granite,"BR,CN,IN,IR,IT,LB,NA,NG,TR",,
Ivory White,Marble,"CN,IN,IR,IT,LB,TR",,
Ivory White,Sandstone,"CN,IN,IR,IT,LB,TR",,
Iwaro Pink,Granite,NG,,
Izerski,Granite,PL,,
J'adore Visuvio,Quartzite,BR,,
Jacaranda,Granite,"BR,ZW",,
Jacaranda Wood,Granite,BR,,
Jacobsville,Sandstone,US,,
Jade,Quartzite,"IN,IR",,
Jade,Travertine,"IN,IR,TR",,
Jade Blue,Granite,"CN,IN",,
Jade Blue,Quartzite,"CN,IN",,
Jade Flower,Onyx,TR,,
Jade Green,Granite,"BR,CN",,
Jade Green,Slate,"BR,CN",,
Jade Grey,Granite,CN,,
Jade Leaf,Marble,PK,,
Jade Peacock,Marble,"IR,TR",,
Jade Pearl,Quartzite,BR,,
Jade Verdure Rock,Granite,CN,,
Jadjur,Tuff,AM,,
Jadore,Quartzite,BR,,
Jaffa,Limestone,AU,,
Jaguar,Limestone,"AL,BR",,
Jaguar Brown,Granite,IN,,
Jaipur Rainbow,Sandstone,IN,,
Jaisalmer Yellow,Limestone,IN,,
Jak,Slate,IN,,
Jak Multicolor,Slate,IN,,
Jakarta,Marble,ID,,
Jalapeno Green,Marble,IN,,
Jalisco Black,Onyx,MX,,
Jalisco Orange,Onyx,MX,,
Jalisco White,Onyx,MX,,
Jalore Brown,Granite,IN,,
Jalore Yellow,Granite,IN,,
Jamtland Gray,Limestone,SE,,
Jamtland Svart,Limestone,SE,,
Jane,Granite,PT,,
Jane Grey,Marble,"AU,CN",,
Jania Crema,Marble,PH,,
Janina,Sandstone,GR,,
Jaracatia,Granite,BR,,
Jardin Fleuri,Limestone,FR,,
Jarppila Rosa,Granite,FI,,
Jarrah Red,Porphyry,AU,,
Jasmin,Marble,TR,,
Jasmine,Limestone,TR,,
Jasmine,Marble,TR,,
Jasmine Blue,Marble,TR,,
Jasmine Dark,Marble,TR,,
Jasmine Diamond,Granite,CN,,
Jasmine Gold,Marble,TR,,
Jasmine White,Granite,"BR,CN,ES,IN,IR,PT,TR",,
Jasmine White,Marble,"IN,IR,TR",,
Jasper,Agate,BR,,
Jasper Blue,Granite,IN,,
Jasper Green,Marble,IN,,
Jasper Green,Quartzite,IN,,
Jasper Green,Semi-Precious Stone,IN,,
Jasper Red,Semi-Precious Stone,IN,,
Jatoba Brown,Granite,BR,,
Jaune,Onyx,DZ,,
Jaune Clore,Limestone,TN,,
Jaune Dore,Limestone,TN,,
Jaune Fleuri,Limestone,LB,,
Jaune Monton,Limestone,FR,,
Jaune Primrose,Limestone,FR,,
Jaune Safra,Limestone,DZ,,
Java Black,Granite,"BR,ID",,
Java Black,Soapstone,"BR,ID",,
Java Brown,Marble,ID,,
Java Cream,Marble,ID,,
Java Grey,Marble,ID,,
Java Melarosa,Marble,ID,,
Java Pink,Marble,ID,,
Java Rosso,Marble,ID,,
Javorka,Sandstone,CZ,,
Jazz Gold,Marble,CN,,
Jazz Grey,Marble,TR,,
Jazz White,Marble,"GR,IT,TR",,
Jazzy,Granite,BR,,
Jbernardos Grey,Slate,ES,,
Jd Brown,Granite,IN,,
Jeans Blue,Marble,"CN,IR,TR",,
Jeerawal White,Granite,IN,,
Jellyfish,Agate,BR,,
Jenkow,Slate,PL,,
Jenny Pink,Marble,AU,,
Jersey Grey,Marble,IN,,
Jerusalem,Limestone,"IL,PS",,
Jerusalem Cream A59,Limestone,PS,,
Jerusalem Cream At2,Limestone,PS,,
Jerusalem Deep Blue,Limestone,"EG,IL,IT,PS",,
Jerusalem Desert,Limestone,PS,,
Jerusalem Eyes,Limestone,PS,,
Jerusalem Grey,Limestone,"IL,PS",,
Jerusalem Royal Pink,Limestone,PS,,
Jerusalem Sea Shells,Limestone,PS,,
Jerusalem Stone (Gold / White),Limestone,IL,,
Jerusalem Tides,Limestone,PS,,
Jet Black,Marble,PK,,
Jezersko,Tuff,SI,,
Jhanjhar White,Marble,IN,,
Jhiri,Marble,IN,,
Jhiri,Onyx,IN,,
Jiajun Red,Granite,CN,,
Jiangxi Black,Slate,CN,,
Jiangxi Green,Granite,CN,,
Jiangxi Jueshi,Marble,CN,,
Jiangxi Multicolor,Slate,CN,,
Jiangxi Yellow,Granite,CN,,
Jianping Black,Granite,CN,,
Jiashi Red,Granite,CN,,
Jiashi White,Marble,CN,,
Jiaxi Yellow,Granite,CN,,
Jidao Red,Granite,CN,,
Jiess,Marble,CN,,
Jilin Black,Granite,CN,,
Jilin White,Granite,CN,,
Jinan Dark Green,Granite,CN,,
Jinghai Rongchen,Granite,CN,,
Jingrun Red,Granite,CN,,
Jingtai Blue,Granite,CN,,
Jinhu Red,Granite,CN,,
Jinhua Cream,Marble,CN,,
Jinshan Black,Basalt,CN,,
Jinshan Gold,Granite,CN,,
Jinsui Grey Grain,Granite,CN,,
Jinxiu,Slate,CN,,
Jinzhai Bright Blue,Granite,CN,,
Jiroft,Marble,IR,,
Jiuhua Jade,Marble,CN,,
Jodhpur Brown,Sandstone,IN,,
Jodhpur Pink Sandstone,Sandstone,"US,IN",,
Jodhpur Red,Sandstone,IN,,
John Brown,Sandstone,US,,
Jolbar,Marble,IR,,
Jolie Grey,Marble,BR,,
Jon Grey,Limestone,ES,,
Jonesboro,Granite,US,,
Jordan Black,Basalt,JO,,
Jordan Brown,Onyx,JO,,
Jordan Gold,Travertine,JO,,
Jordan Grey,Marble,JO,,
Jordans Basebed,Limestone,GB,,
Jordans Roach,Limestone,GB,,
Jordans Whitbed,Limestone,GB,,
Jos Light Green,Granite,NG,,
Josheghan,Marble,IR,,
Josheghan Sefid,Marble,IR,,
Julia,Soapstone,BR,,
Julian Jade,Marble,CN,,
Junan Red,Granite,CN,,
Jungle Black,Marble,CN,,
Jungle Green,Slate,BR,,
Juparaiba,Granite,BR,,
Juparana Andes,Granite,BR,,
Juparana Apiaka,Granite,BR,,
Juparana Arandis,Granite,NA,,
Juparana Avindra,Granite,LK,,
Juparana Bari,Granite,BR,,
Juparana Beach,Granite,BR,,
Juparana Boreal,Granite,BR,,
Juparana Bronze,Granite,BR,,
Juparana Campestre,Granite,BR,,
Juparana Champagne,Granite,BR,,
Juparana Colombo,Granite,"BR,IN,IT,PL",,
Juparana Copacabana,Granite,BR,,
Juparana Crema Bordeaux,Granite,"BR,CN",,
Juparana Desert,Granite,BR,,
Juparana Dream,Granite,BR,,
Juparana Dunas,Granite,BR,,
Juparana Etna,Granite,BR,,
Juparana Excotica,Granite,BR,,
Juparana Fantastico,Granite,BR,,
Juparana Flamingo,Granite,BR,,
Juparana Florence,Granite,BR,,
Juparana Gold,Granite,"BR,IN,IT,PL",,
Juparana Gold Bluish,Granite,BR,,
Juparana Golden Khan,Granite,BR,,
Juparana Guyana,Granite,BR,,
Juparana Itaoca,Granite,BR,,
Juparana Jatoba,Granite,BR,,
Juparana Linhares,Granite,BR,,
Juparana Mahogany,Granite,BR,,
Juparana Mantena,Granite,BR,,
Juparana Natalia,Granite,BR,,
Juparana Paraiba,Granite,BR,,
Juparana Perla,Granite,BR,,
Juparana Persa,Granite,BR,,
Juparana Portobelo,Granite,BR,,
Juparana Rio,Granite,BR,,
Juparana Saba,Granite,SD,,
Juparana Salmon,Granite,BR,,
Juparana Santa Helena,Granite,BR,,
Juparana Sausalito,Granite,BR,,
Juparana Starlight,Granite,BR,,
Juparana Sucuri,Granite,"BR,IN",,
Juparana Taupe,Granite,BR,,
Juparana Tier,Granite,NA,,
Juparana Tobacco,Granite,BR,,
Juparana Verniz,Granite,BR,,
Juparana Wave Light,Granite,BR,,
Jupiter Grey,Marble,"CN,PT,VN",,
Jupiter Red,Granite,IN,,
Jura Beige,Limestone,DE,,
Jura Brown,Limestone,DE,,
Jura Cream,Limestone,DE,,
Jura Gelb,Limestone,DE,,
Jura Grey,Limestone,DE,,
Jura Grey Blue,Limestone,DE,,
Jura Melange,Limestone,DE,,
Jurassic Cream,Marble,TR,,
Jurassic Golden,Granite,"BR,IN",,
Juva Red,Granite,FI,,
Juzhou Red,Granite,CN,,
Juzina,Limestone,HR,,
Jyvaeskylae Black,Granite,FI,,
Jyvaeskylae Light,Granite,FI,,
K White,Granite,IN,,
K5,Marble,OM,,
K5 Reddish,Marble,OM,,
K5 Reddish Dark,Marble,OM,,
Kabul Grey,Marble,AF,,
Kachia Grey,Granite,NG,,
Kadazan Beige,Marble,MY,,
Kaduna Dark Grey,Granite,NG,,
Kadur Red,Granite,IN,,
Kafr Nabo,Limestone,SY,,
Kaftar Khana,Marble,AF,,
Kagawa,Granite,JP,,
Kahla,Marble,MA,,
Kahn,Granite,NA,,
Kahramanmaras Light Beige,Marble,TR,,
Kairuru,Marble,NZ,,
Kajaani Grey,Granite,FI,,
Kakino White,Granite,CN,,
Kalahari,Granite,"BR,IN",,
Kalahari,Quartzite,"BR,IN",,
Kalahari Spring,Granite,ZA,,
Kalamaili Gold,Granite,CN,,
Kalasia,Marble,PK,,
Kaleidoscope,Granite,BR,,
Kaleshjani,Limestone,AL,,
Kali Botticino,Marble,IN,,
Kali Brown,Marble,TR,,
Kali Cream,Limestone,TR,,
Kalimantan Green,Slate,ID,,
Kalinka,Granite,UA,,
Kalix,Granite,SE,,
Kalix River,Granite,BR,,
Kallsebo,Granite,SE,,
Kalvola Red,Granite,FI,,
Kalzard Red,Travertine,IR,,
Kamai Gold,Granite,CN,,
Kaman,Granite,TR,,
Kaman Gold Beige,Marble,TR,,
Kaman Ivory,Marble,TR,,
Kamarica,Granite,BR,,
Kambulatovsky,Granite,RU,,
Kamelia,Marble,IR,,
Kamphaeng,Marble,TH,,
Kampos,Marble,GR,,
Kanakpura Multicolour,Granite,IN,,
Kandla Grey Sandstone,Sandstone,IN,,
Kandla Quartzitic,Quartzitic Sandstone,IN,,
Kanfanar,Limestone,HR,,
Kangar,Marble,MY,,
Kangayam Gold,Granite,IN,,
Kangbao Red,Granite,CN,,
Kangmei Black,Granite,CN,,
Kanigiri Absolute Black,Granite,IN,,
Kannada,Soapstone,IN,,
Kanor Grey,Marble,CN,,
Kansas,Limestone,US,,
Kapa Beige,Marble,TR,,
Kapa Cappuccino,Marble,TR,,
Kapandriti,Travertine,GR,,
Kapela,Limestone,PL,,
Kapela Rozowy,Marble,PL,,
Kapiol,Travertine,IR,,
Kappelshamn,Limestone,SE,,
Kaptan Black,Marble,TR,,
Kapustinsky,Granite,"RU,UA",,
Karabash Green,Slate,RU,,
Karabuk Brown,Marble,TR,,
Karabuk Yellow,Travertine,TR,,
Karacabey Black,Marble,TR,,
Karachi White,Granite,PK,,
Karahalli White,Marble,TR,,
Karaki Grey,Limestone,JO,,
Karako,Marble,TR,,
Karaman Noce,Travertine,TR,,
Karaman Pink,Marble,TR,,
Karamay Green,Granite,CN,,
Karauli Red,Granite,IN,,
Karboni Arka,Marble,IR,,
Kardelen,Granite,TR,,
Kardjali Yellow,Gneiss,BG,,
Karelia Beige,Granite,FI,,
Karelia Black,Granite,"IR,RU",,
Karelia Mystik,Granite,FI,,
Karelia Red,Granite,"FI,RU",,
Karelian Green,Granite,FI,,
Karen,Granite,EG,,
Karen Gold,Marble,CN,,
Karesi White,Marble,TR,,
Kari Ice,Onyx,NA,,
Karia Cream,Marble,TR,,
Karibib Black,Marble,NA,,
Karimnagar Brown,Granite,IN,,
Karina Beige,Limestone,RO,,
Karina Flourish,Limestone,RO,,
Karina Light,Limestone,RO,,
Karina Rice Beige,Limestone,RO,,
Karina V,Limestone,RO,,
Kariz Amir,Marble,AF,,
Karizmeer,Marble,AF,,
Karjalan Black Diabase,Granite,RU,,
Karjalan Ruskea,Granite,RU,,
Karki,Limestone,PS,,
Karlshult,Basalt,SE,,
Karlstejn,Marble,CZ,,
Karma Traonyx,Onyx,IR,,
Karmel White,Travertine,IL,,
Karmiel,Limestone,IL,,
Karmin,Granite,UA,,
Karnataka Royal Brown,Granite,IN,,
Karnezeika Beige,Marble,"GR,RU",,
Karoo Gold,Granite,ZA,,
Karoo Ice,Granite,ZA,,
Karsy,Limestone,PL,,
Karthali,Slate,NP,,
Karu Spotty,Granite,NG,,
Karur White,Granite,IN,,
Karystos,Marble,GR,,
Karystos Black,Slate,GR,,
Karystos Brown,Slate,GR,,
Kas Beige,Marble,TR,,
Kashan Coffee,Travertine,IR,,
Kashan Golden Brown,Marble,IR,,
Kashan Silver,Travertine,IR,,
Kashina Gora,Granite,RU,,
Kashmar,Marble,IR,,
Kashmir,Onyx,TR,,
Kashmir Azul,Granite,IN,,
Kashmir Bahia,Granite,"BR,IN",,
Kashmir Gold,Granite,"BR,IN",,
Kashmir Green,Granite,IN,,
Kashmir Lapidus,Granite,BR,,
Kashmir Mango,Granite,IN,,
Kashmir White,Granite,"BR,CN,IN,LK,SE,VN",,
Kasiki Grey,Marble,CN,,
Kasinge,Granite,SE,,
Kasite Red,Marble,CN,,
Kasta Veiny,Marble,NZ,,
Kastamonu Beige,Limestone,TR,,
Kastamonu Beige,Marble,"BA,BR,CN,EG,ES,GR,ID,IR,IT,OM,TR",,
Kastamonu Rosalia,Marble,TR,,
Kate White,Marble,CN,,
Katmer,Travertine,TR,,
Katni Beige,Marble,IN,,
Katni Brown,Sandstone,IN,,
Katni Green,Marble,IN,,
Katni Grey,Sandstone,IN,,
Katni Pink,Marble,IN,,
Katni Yellow,Sandstone,IN,,
Katori,Limestone,TR,,
Katrina,Marble,EG,,
Katuba Blue,Granite,ZM,,
Katzie,Granite,IN,,
Kavala,Slate,GR,,
Kavala Grey,Marble,GR,,
Kavosh,Marble,IR,,
Kawi Agung,Marble,ID,,
Kayon Blue,Granite,CN,,
Kayon Nero,Granite,CN,,
Kayrus,Granite,BR,,
Kayseri,Basalt,TR,,
Kayseri Beige,Tuff,TR,,
Kayseri Black,Tuff,TR,,
Kayseri Grey,Andesite,TR,,
Kayseri Grey,Tuff,TR,,
Kayseri Light,Travertine,TR,,
Kayseri Noce,Travertine,TR,,
Kayseri Pink,Tuff,TR,,
Kayseri Red,Tuff,TR,,
Kayseri Yellow,Tuff,TR,,
Kaytash,Granite,UZ,,
Kazan Beige,Marble,TR,,
Kazlje,Limestone,SI,,
Keda Grey,Marble,TR,,
Kelardasht,Granite,IR,,
Kello,Travertine,PE,,
Kemalpasa White Turquoise,Marble,TR,,
Kemer White,Travertine,TR,,
Kemet,Granite,EG,,
Kemore White,Marble,PK,,
Kempton White,Granite,BR,,
Kenaf Wood,Granite,CN,,
Kensington,Marble,US,,
Kenya White,Marble,KE,,
Kepez Silver,Travertine,TR,,
Keramati,Onyx,IR,,
Kerem Delijan,Marble,IR,,
Kerem Kashan,Marble,IR,,
Kerem Mojdar,Travertine,IR,,
Kerem Shahre Kord,Marble,IR,,
Kerem Shahrekord Sartipy,Marble,IR,,
Kerman Brown,Marble,IR,,
Kerman Cream,Marble,IR,,
Kerman Turquoise,Onyx,IR,,
Kerman Veined Green,Onyx,IR,,
Kerman White,Onyx,IR,,
Kershaw,Granite,US,,
Kesariaji Green,Marble,IN,,
Kesariya Green,Marble,IN,,
Key West Gold,Granite,US,,
Kg Ebony,Granite,ZW,,
Khabourah Cumulus,Marble,OM,,
Khadel Gris,Marble,TN,,
Khaiber,Limestone,EG,,
Khaki Grey,Marble,"CN,TR",,
Khaki Plum,Sandstone,CN,,
Khaki White,Marble,CN,,
Khalele,Limestone,JO,,
Khalifehlu Chocolate,Granite,IR,,
Khalili,Limestone,PS,,
Khalvangah,Travertine,IR,,
Khammam Black,Granite,IN,,
Khanh Hoa,Granite,VN,,
Khanh Vinh,Basalt,VN,,
Khao Tone,Granite,TH,,
Kharda Red,Granite,IN,,
Khatmia,Limestone,EG,,
Khazana,Marble,IN,,
Kheemuch,Sandstone,IN,,
Khlong Hat,Marble,TH,,
Khob Sangan,Marble,IR,,
Khoorose,Marble,IR,,
Khor Ghermez Salsali,Marble,IR,,
Khor Yekrangi,Marble,IR,,
Khorasan Azur,Granite,IR,,
Khormayi Arian,Travertine,IR,,
Khormayi Mojdar,Travertine,IR,,
Khorramabad,Limestone,IR,,
Khour,Marble,IR,,
Khoy Red,Marble,IR,,
Khust,Basalt,UA,,
Kiama,Basalt,AU,,
Kianta Sky,Soapstone,FI,,
Kibik Kordonskiy,Marble,RU,,
Kibwezi Pink,Granite,KE,,
Kibwezi Yellow,Granite,KE,,
Kielce,Sandstone,PL,,
Kik,Marble,HR,,
Kili Green,Sandstone,ZA,,
Kilimanjaro,Granite,"BR,IN",,
Kilkenny,Sandstone,IE,,
Kilkenny Black Fossil,Limestone,IE,,
Kilpua Red,Granite,FI,,
Kilzinger,Sandstone,PL,,
Kimberley,Basalt,AU,,
Kimberley,Sandstone,AU,,
Kimberley Black,Basalt,AU,,
Kimberley Black,Granite,AU,,
Kimberly Pink,Quartzite,IN,,
Kinari,Limestone,ID,,
Kinawa Gold,Granite,IN,,
Kinawa Lagoa,Granite,BR,,
Kinawa White,Granite,BR,,
King Black,Granite,CN,,
King Blue,Marble,TR,,
King Blue Golden Grey,Marble,TR,,
King Brown,Marble,"GR,TR",,
King Emperador,Marble,ID,,
King White Dolomite,Dolomite,BR,,
Kingdom,Marble,IR,,
Kings Ash,Marble,CN,,
Kingston Orange,Sandstone,CA,,
Kinna,Granite,SE,,
Kinnekulle Gray,Limestone,SE,,
Kinnekulle Roedrosig,Limestone,SE,,
Kirchevo,Sandstone,BG,,
Kirikovan,Granite,RU,,
Kirkby,Tuff,GB,,
Kirmenjak Bayadere,Limestone,HR,,
Kirmenjak Blue,Limestone,HR,,
Kirmenjak Dark,Limestone,HR,,
Kirmenjak Sav,Limestone,HR,,
Kirschfurter,Sandstone,DE,,
Kirsehir Noce,Travertine,TR,,
Kirsehir White,Marble,TR,,
Kissamos,Travertine,GR,,
Kissavos,Marble,GR,,
Kitaki,Granite,JP,,
Kitledge Gray,Granite,US,,
Kivia Blue,Soapstone,FI,,
Kiwi Green,Marble,CN,,
Kizilca,Onyx,TR,,
Klassic,Granite,US,,
Klb Peach,Onyx,IR,,
Kleos,Travertine,TR,,
Klesov Red,Granite,UA,,
Klettigshammer,Granite,DE,,
Klikovaca,Limestone,ME,,
Klong Sak,Granite,TH,,
Knapper,Granite,NO,,
Knidos,Marble,TR,,
Koala,Marble,ID,,
Kocar White,Marble,TR,,
Kocber,Sandstone,TR,,
Kodiak Brown,Granite,CA,,
Koelginskoe,Marble,RU,,
Kohilie,Limestone,SY,,
Koida Black,Granite,FI,,
Koka,Onyx,"IR,TR",,
Kokar,Granite,FI,,
Kokinovraxos Multicolour,Marble,GR,,
Kokonga,Basalt,NZ,,
Koksaroy Grey,Granite,UZ,,
Koky Beige,Marble,TR,,
Koliwada,Granite,IN,,
Kolkata White,Marble,IN,,
Kolmarden,Marble,SE,,
Komani,Limestone,ME,,
Kometa Black,Granite,UA,,
Komotini,Marble,GR,,
Konglomera Valencia,Marble,IR,,
Konigsgratzer,Sandstone,CZ,,
Konstantin Imperialis,Granite,UA,,
Konya Noce,Travertine,TR,,
Konya Scabas,Travertine,TR,,
Konya Silver,Travertine,TR,,
Kopulak,Sandstone,PL,,
Korday,Granite,KZ,,
Kordestan Green,Granite,IR,,
Korenici,Limestone,HR,,
Korninskiy,Granite,UA,,
Korpi Black,Granite,FI,,
Korpi Pale Red,Granite,FI,,
Korpilahti,Granite,FI,,
Korykos Beige,Marble,TR,,
Kosmin,Granite,PL,,
Kosseine,Granite,DE,,
Kostopolsky,Basalt,UA,,
Kostrza,Granite,PL,,
Kostyantynivsky,Granite,UA,,
Kota Beige,Limestone,IN,,
Kota Black,Limestone,IN,,
Kota Blue,Limestone,IN,,
Kota Blue,Slate,IN,,
Kota Brown,Limestone,IN,,
Kota Desert,Sandstone,IN,,
Kota Green,Limestone,IN,,
Kotah Yellow,Sandstone,IN,,
Kotalwadi Black,Granite,IN,,
Koteshwar,Marble,IN,,
Koteshwar Adanga,Marble,IN,,
Koteshwar Albeta,Marble,IN,,
Kour,Limestone,LB,,
Kouros,Quartzite,BR,,
Kovashice Bulqize,Limestone,AL,,
Kowloon Play Bead,Onyx,CN,,
Kozani White,Marble,GR,,
Kozarovice,Granite,CZ,,
Kozlu Noche,Travertine,TR,,
Kozmus,Granite,BR,,
Kporoko African Multicolour,Granite,NG,,
Kporoko Brown,Granite,NG,,
Kporoko Spotty,Granite,NG,,
Kramfors,Granite,SE,,
Kramsacher,Limestone,AT,,
Krasnopetschersk,Travertine,UA,,
Krastal Mittel,Marble,AT,,
Kremna,Travertine,TR,,
Krensheim,Limestone,DE,,
Krin Grey,Granite,MK,,
Kris Vivo,Marble,IN,,
Krishna Flower,Granite,IN,,
Kristallo Superiore,Quartzite,BR,,
Krokstrand,Granite,"NO,SE",,
Kronos,Dolomite,BR,,
Kronreuth,Granite,DE,,
Krute,Marble,ME,,
Krystallos Elysian,Granite,IN,,
Krystallos Medley,Granite,IN,,
Krystallos Pink,Granite,IN,,
Ksm,Marble,IR,,
Kuckovo,Travertine,MK,,
Kudashivsky,Granite,UA,,
Kudu,Slate,ZA,,
Kujama,Granite,NG,,
Kukul,Granite,MK,,
Kula,Marble,"BG,GR",,
Kula,Tuff,"BG,GR",,
Kula Light,Travertine,TR,,
Kula Noce,Travertine,TR,,
Kulla,Granite,SE,,
Kulun Gold,Marble,CN,,
Kumanovo,Travertine,MK,,
Kuna Bella,Limestone,BG,,
Kunal Red,Granite,IN,,
Kund Black,Slate,IN,,
Kund Multicolor,Slate,IN,,
Kund Peacock,Slate,IN,,
Kunda Golden,Limestone,EE,,
Kunnam Black,Granite,IN,,
Kunt Silver Royal,Marble,TR,,
Kupetskiy,Granite,RU,,
Kuppam Grey,Granite,"BR,IN",,
Kurasie Grey,Granite,UZ,,
Kurasie Pink,Granite,UZ,,
Kurdaisk,Granite,KZ,,
Kurdy,Granite,KZ,,
Kuri Blue,Marble,TR,,
Kuros Perle De Nacre,Marble,FR,,
Kurtinskiy,Granite,KZ,,
Kuru Hazelnut,Granite,FI,,
Kuru Red,Granite,FI,,
Kuru Red Brown,Granite,FI,,
